tconst,primaryTitle,averageRating,numVotes,startYear,genres
tt0101283,Ajooba,5.2,1411,1991,"Action,Adventure,Comedy"
tt0101301,All I Want for Christmas,5.9,5371,1991,"Comedy,Family,Romance"
tt0101309,Alligator II: The Mutation,3.9,3013,1990,"Horror,Sci-Fi"
tt0101316,The Lover,6.8,22955,1992,"Biography,Drama,Romance"
tt0101317,Lovers: A True Story,6.9,3354,1991,"Crime,Drama,Romance"
tt0101318,The Lovers on the Bridge,7.6,14933,1991,"Drama,Romance"
tt0101326,American Ninja 4: The Annihilation,3.9,5239,1990,"Action,Crime,Drama"
tt0101327,American Shaolin,5.8,1563,1991,Action
tt0101329,An American Tail: Fievel Goes West,6.5,27683,1991,"Adventure,Animation,Family"
tt0101356,Another You,5.3,4220,1991,"Comedy,Crime"
tt0101371,Article 99,6.1,3498,1992,"Comedy,Drama"
tt0101373,At Play in the Fields of the Lord,6.8,3480,1991,"Drama,Romance"
tt0101376,Atlantis,6.6,1927,1991,"Documentary,Music"
tt0101393,Backdraft,6.7,85414,1991,"Action,Drama,Mystery"
tt0101410,Barton Fink,7.6,126836,1991,"Comedy,Drama,Thriller"
tt0101412,Beastmaster 2: Through the Portal of Time,4.1,3496,1991,"Action,Adventure,Fantasy"
tt0101414,Beauty and the Beast,8.0,471281,1991,"Animation,Family,Fantasy"
tt0101428,The Beautiful Troublemaker,7.5,9078,1991,Drama
tt0101437,Beta,6.2,2305,1992,"Drama,Romance"
tt0101444,Big Girls Don't Cry... They Get Even,6.3,2059,1991,Comedy
tt0101448,Bikini Island,3.7,1813,1991,"Horror,Mystery,Thriller"
tt0101452,Bill & Ted's Bogus Journey,6.3,79684,1991,"Adventure,Comedy,Fantasy"
tt0101453,Billy Bathgate,5.9,12556,1991,"Crime,Drama,Thriller"
tt0101455,Bingo,4.9,3061,1991,"Adventure,Comedy,Family"
tt0101458,Until the End of the World,6.8,10946,1991,"Action,Drama,Sci-Fi"
tt0101465,Black Robe,7.1,7534,1991,"Adventure,Drama,War"
tt0101482,Bloodmatch,4.0,1082,1991,"Action,Thriller"
tt0101492,Body Parts,5.6,4797,1991,"Horror,Sci-Fi,Thriller"
tt0101497,The Boneyard,5.6,1437,1991,"Fantasy,Horror"
tt0101502,The Borrower,5.3,2058,1991,"Comedy,Horror,Sci-Fi"
tt0101507,Boyz n the Hood,7.8,149655,1991,"Crime,Drama"
tt0101516,Bugsy,6.8,30457,1991,"Biography,Crime,Drama"
tt0101518,Bullseye!,4.5,1528,1990,"Comedy,Crime"
tt0101523,The Butcher's Wife,5.4,8735,1991,"Comedy,Fantasy,Romance"
tt0101524,By the Sword,6.4,1685,1991,"Adventure,Drama,Sport"
tt0101526,Children of Nature,7.3,1570,1991,"Drama,Romance"
tt0101529,Cabeza de Vaca,6.9,1180,1991,"Adventure,Biography,Drama"
tt0101531,Cadence,6.5,5971,1990,Drama
